Document Name,Chunk 1,Chunk 2,Chunk 3,Chunk 4,Chunk 5,Chunk 6,Chunk 7,Chunk 8,Chunk 9,Chunk 10,Chunk 11,Chunk 12,Chunk 13,Chunk 14,Chunk 15,Chunk 16
"1849. Wackerbarth, Dietrich.txt",0.3916876574307305,0.3824013157894737,0.39532944120100083,0.4025157232704403,0.414468085106383,0.4190155658392932,0.3851380042462845,0.3965589592950063,0.3854210305823209,0.3887959866220736,0.38445378151260506,0.38341750841750843,0.38177966101694916,0.532293986636971,,
"2000. Heaney, Seamus.txt",0.3923110528615116,0.37134251290877796,0.38968357173818813,0.400087260034904,0.39748591244039877,0.4029916410030796,0.38380281690140844,0.3930913860953214,0.4135206321334504,0.39243290805103387,0.38280226975120035,0.3748902546093064,0.3652326602282704,0.43205574912891986,,
"1855. Thorpe, Benjamin.txt",0.35832995541143087,0.32689987937273823,0.3300970873786408,0.32918506623845845,0.3396149119213437,0.3514831369362048,0.33508914100486226,0.33561093247588425,0.32144304823672476,0.31000813669650124,0.3149671052631579,0.33590576766856217,0.355087358684481,,,
"2012. Meyer, Thomas.txt",0.4010458567980692,0.3628571428571429,0.39204545454545453,0.3829357056207036,0.36732186732186733,0.3604081632653061,0.36650082918739635,0.34169653524492233,0.6459854014598541,,,,,,,
"1991. Rebsamen, Frederick.txt",0.42448036951501156,0.41043083900226757,0.43810400368154623,0.42850553505535055,0.41590493601462525,0.4304449648711944,0.42239776951672864,0.3985239852398524,0.40907008703618875,0.4255813953488372,0.4010246856078249,0.4298327137546468,0.48553557466770914,,,
1966-2002. Talbot Donaldson.txt,0.3421739130434783,0.3333333333333333,0.33261525204653164,0.3383751080380294,0.33564614050303554,0.3403523850451225,0.33432835820895523,0.3242894056847545,0.33601354210749046,0.31900257953568356,0.32170542635658916,0.3326105810928014,0.4104769351055512,,,
2020. Maria Dahvana Headley.txt,0.38912788423934297,0.35369153459605723,0.37152913570590534,0.3962189838519102,0.37022292993630573,0.38642604943114944,0.37302215189873417,0.39069952305246425,0.38330019880715704,0.41025641025641024,0.3558330081935232,0.35326299335678,0.3672900915240748,0.6086956521739131,,
"1897. Hall, John Lesslie.txt",0.4015444015444015,0.39016115351993214,0.3878942881500426,0.39218213058419243,0.41856467554791577,0.4061969439728353,0.4068230277185501,0.40651438240270726,0.4028013582342954,0.40263046245226985,0.39505119453924914,0.38442105263157894,0.4011082693947144,0.40667678300455234,,
"1973. Alexander, Michael.txt",0.3817712811693895,0.35344827586206895,0.36701208981001726,0.3631713554987212,0.3601565898216616,0.35851528384279474,0.3543411194358748,0.36395147313691506,0.36625874125874125,0.3556231003039514,0.34376358105171667,0.3452740612861459,0.3635559486952676,0.46450809464508097,,
"1991. Romano, Tim.txt",0.4154566744730679,0.38978370915784627,0.38894052044609667,0.6291793313069909,,,,,,,,,,,,
"2007. Ringler, Dick.txt",0.3910228744065602,0.3684661525278492,0.38594969644405897,0.3879757785467128,0.40480349344978167,0.3911917098445596,0.3854166666666667,0.4103896103896104,0.4083769633507853,0.3806198166739415,0.3939526730937774,0.433849821215733,,,,
"1910. Morris, Wyatt.txt",0.3706597222222222,0.35114174924601466,0.3543814432989691,0.34101783384080037,0.3664188893747267,0.3758680555555556,0.3697152717860224,0.35122370115929585,0.360550064460679,0.3758071459319845,0.35223367697594504,0.3408304498269896,0.35268630849220106,0.35621198957428324,0.36314760508308896,
"1910. Gummere, Francis B.txt",0.37973086627417996,0.3701589889930697,0.36409185803757826,0.3824148085822465,0.3903854123497721,0.36431846602751145,0.3919765984120351,0.36967418546365916,0.36784511784511786,0.3557245458386143,0.37435897435897436,0.4337748344370861,,,,
"2022. Markotić, Nicole.txt",0.44689221085759245,0.451171875,0.45601291364003227,0.4219114219114219,0.45831655255739023,0.4261565836298932,,,,,,,,,,
"1963. Burton, Raffel - Beowulf.txt",0.3924158500213038,0.3672363484785327,0.3778337531486146,0.389715257118572,0.3781157583438952,0.382996632996633,0.3758985200845666,0.3576300085251492,0.3738085370907584,0.3546511627906977,0.33638634471273937,0.3580968280467446,0.4740566037735849,,,
